,Gene/Region,"HGNC/Dosage ID",GRCh38,"HI Score","TS Score","Triplo Disease","Triplo Disease ID",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"12p11.2 population region (DGV_Gold_Standard_June_2021_gssvG23340)",ISCA-46724,21:10807602-11085101,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/03/2021
R,"12p11.23 population region (DGV_Gold_Standard_June_2021_gssvL23860)",ISCA-46664,12:27495007-27501798,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p11.23 population region (gnomAD-SV_v2.1_DEL_12_126677)",ISCA-46465,12:27495208-27502230,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23179)",ISCA-46667,12:10428652-10444444,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23223)",ISCA-46661,12:11039082-11065026,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23228)",ISCA-46662,12:11074482-11098540,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23231)",ISCA-46663,12:11072385-11088297,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125567)",ISCA-46462,12:10428945-10444404,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125568)",ISCA-46463,12:10429000-10435076,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12p13.2 population region (gnomAD-SV_v2.1_DEL_12_125610)",ISCA-46464,12:11073400-11098001,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7792)",ISCA-46668,12:8405494-8443619,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7850)",ISCA-46669,12:8208926-8239193,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"12p13.31 population region (gnomAD-SV_v2.1_DUP_12_33971)",ISCA-46461,12:8208853-8238300,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12q12 population region (gnomAD-SV_v2.1_DEL_12_127735)",ISCA-46466,12:40480964-40482622,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"12q23.3 population region (DGV_Gold_Standard_June_2021_gssvL26928)",ISCA-46666,12:104975237-104980402,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"13q12.11 population region (DGV_Gold_Standard_June_2021_gssvG9718)",ISCA-46672,13:20960774-20966984,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"13q12.12 recurrent region (includes SACS, SGCG)",ISCA-46298,13:22970443-24307222,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,04/26/2021
R,"13q21.1 population region (DGV_Gold_Standard_June_2021_gssvL30434)",ISCA-46670,13:57194374-57212808,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"13q21.33 population region (DGV_Gold_Standard_June_2021_gssvL31119)",ISCA-46671,13:71902850-71915649,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10810)",ISCA-46675,14:19010800-19832182,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10817)",ISCA-46679,14:19722070-19958650,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10827)",ISCA-46680,14:19867377-19955139,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10899)",ISCA-46681,14:18685852-18693371,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33520)",ISCA-46678,14:19722540-19957072,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33589)",ISCA-46677,14:18685827-18693395,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q11.2 population region (gnomAD-SV_v2.1_DEL_14_140616)",ISCA-46467,14:23998790-24004791,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"14q11.2 region (TCRA region)",ISCA-37476,14:21642889-22552154,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,04/09/2015
R,"14q11.2 region including CHD8 and SUPT16H",ISCA-37438,14:21358741-21393828,"2 (Emerging Evidence)","0 (No Evidence)",'-,'-,,,‐,‐,‐,05/09/2012
R,"14q13.2 population region (DGV_Gold_Standard_June_2021_gssvL34350)",ISCA-46676,14:35136190-35146114,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32 region associated with UPD(14) phenotypes",ISCA-37449,14:99928257-101038192,"2 (Emerging Evidence)","0 (No Evidence)",'-,'-,,,‐,‐,‐,05/10/2012
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12097)",ISCA-46682,14:105651840-105679437,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12117)",ISCA-46683,14:106370520-106394986,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12133)",ISCA-46684,14:106691149-106708515,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12150)",ISCA-46685,14:106349168-106358775,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37239)",ISCA-46674,:-,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37313)",ISCA-46673,14:106717601-106728149,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
R,"15q11.2 population region (DGV_Gold_Standard_June_2021_gssvG12224)",ISCA-46686,15:20183488-22002386,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"15q11.2 population region (DGV_Gold_Standard_June_2021_gssvG12359)",ISCA-46688,15:20939772-20958971,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"15q11.2 population region (gnomAD-SV_v2.1_DEL_15_145826)",ISCA-46468,15:20523935-20540286,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q11.2 population region (gnomAD-SV_v2.1_DEL_15_145837)",ISCA-46469,15:20836720-20850971,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q11.2 recurrent region (BP1-BP2) (includes NIPA1)",ISCA-37448,15:22782170-23040134,"3 (Sufficient Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,04/12/2021
R,"15q11.2q13 recurrent (PWS/AS) region (Class 1, BP1-BP3)",ISCA-37404,15:22782170-28134728,"3 (Sufficient Evidence)","3 (Sufficient Evidence)","15q11q13 microduplication syndrome",MONDO:0012081,,,‐,‐,‐,11/26/2013
R,"15q11.2q13 recurrent (PWS/AS) region (Class 2,BP2-BP3)",ISCA-37478,15:23465365-28134728,"3 (Sufficient Evidence)","3 (Sufficient Evidence)","15q11q13 microduplication syndrome",MONDO:0012081,,,‐,‐,‐,11/26/2013
R,"15q13 recurrent region (BP3-BP4) (includes APBA2)",ISCA-46285,15:28916886-30076787,"0 (No Evidence)","0 (No Evidence)",'-,'-,,,‐,‐,‐,03/09/2020
R,"15q13.2 population region (DGV_Gold_Standard_June_2021_gssvG12633)",ISCA-46687,15:30195894-30503867,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146428)",ISCA-46470,15:30089745-30146297,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146452)",ISCA-46472,15:30400796-30432997,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/17/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146453)",ISCA-46471,15:30140795-30590897,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146464)",ISCA-46473,15:30532996-30560897,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/17/2021
R,"15q13.2 population region (gnomAD-SV_v2.1_DEL_15_146467)",ISCA-46474,15:30555746-30590897,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/17/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146609)",ISCA-46476,15:32400798-32405799,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146612)",ISCA-46477,15:32451798-32462899,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146614)",ISCA-46478,15:32482798-32487799,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146625)",ISCA-46479,15:32572798-32605799,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DEL_15_146627)",ISCA-46480,15:32593998-32605799,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/17/2021
R,"15q13.3 population region (gnomAD-SV_v2.1_DUP_15_39790)",ISCA-46475,15:32398573-32442049,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/09/2021
R,"15q13.3 recurrent region (BP4-BP5) (includes CHRNA7)",ISCA-37411,15:30900686-32153204,"3 (Sufficient Evidence)","1 (Little Evidence)",'-,'-,,,‐,‐,‐,04/28/2018
R,"15q13.3 recurrent region (D-CHRNA7 to BP5) (includes CHRNA7, OTUD7A)",ISCA-46295,15:31727418-32153204,"3 (Sufficient Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,05/10/2018
